replicate,group,seed,phase2_B,phase2_L,phase2_S,phase2_K
1,control,89250953,42.260502920891085,8.498584026424844,0.0156068367684584,25.33458333736192
2,control,773956048,40.47652769974193,6.494595640381077,0.2490629749026033,24.293540225368712
3,control,654571518,43.6100842322884,5.263680200346327,0.0201630548100044,26.14882241635787
4,control,438878439,42.88439506998922,4.811223000472621,0.0139779028285427,25.09202838036805
5,control,433015235,41.16460631182069,6.567100759171868,0.3357284911738312,24.61998643545201
6,control,858597919,40.569439372313255,6.503541582001811,0.0760135189208571,24.35792934500681
7,control,201469535,42.23249993523266,6.111513202090169,0.0867532601094435,25.33783639426177
8,control,94177347,38.578362829530775,8.489221706223839,0.0763111495664353,23.145237972350493
9,control,526478978,42.79078064127118,6.803898900586085,0.3431722222996017,25.535115004983293
10,control,975622351,40.87540462017426,6.948188491864578,0.3832562922370512,24.50836192163297
11,control,735752370,43.64546198801714,6.482776284344225,0.0281045376462379,26.175929639464695
12,control,761139701,41.43163273403363,5.985846761945355,0.1631857734854058,24.826741116750394
13,control,717477276,40.14947248724223,5.775893018642829,0.0159194463066158,24.08018278345796
14,control,786064305,42.50283296077844,6.559161546402611,0.0854634302475702,25.48031847302401
15,control,513226573,41.612144336792745,5.44299131185301,0.1101620175474033,24.9185422856398
16,control,128113632,38.14889599264292,6.1232518475771,0.2763747378754672,22.779467833120343
17,control,839748229,40.56652342613216,6.229397534969316,0.1652904195996656,24.306139948227557
18,control,450385937,45.50557697995818,7.089090776067232,0.1043045917244885,27.305160515564005
19,control,500351915,43.06737110516401,6.48262188876655,0.0765154962743246,25.830405561663596
20,control,370798024,39.26652421720544,6.759050888626587,0.1083038698926765,23.560470936572106
21,control,182549636,44.53489519512853,5.990544426823698,0.2495552750280301,26.71509157553068
22,control,926764988,43.966664230751455,4.865416626937567,0.0203145613049099,26.050326135389305
23,control,781567455,41.06007834423,5.190227134565348,0.0657054293645521,24.556688120204186
24,control,643865119,41.69292623419545,5.728054650066216,0.0200146369492088,25.028841991857124
25,control,402414364,42.28700822427288,6.005690560991083,0.0956130195417284,25.36023149263726
26,control,822761613,41.95447284995935,5.575210952924153,0.1217108957828556,25.09681477678153
27,control,545429118,40.69687346751681,6.2694801714927815,0.0594793461745288,24.43035192567487
28,control,443414198,42.84222004848064,6.0106343722327535,0.1816387775566153,25.648761107445623
29,control,450459553,39.92434791246536,6.472667007586064,0.3451204989395126,23.964208265085112
30,control,227238721,44.02287128860249,5.787240428238606,0.1249402209478788,26.4169736748372
31,control,92135914,40.94567821868812,4.99772166639104,0.0298261320483395,24.110452611645275
32,control,554584786,38.98000176088205,5.678266915036051,0.1592286069494325,23.371327361489637
33,control,887889843,38.76235752261972,5.296342725049664,0.0488469656797375,23.208070236653604
34,control,63817255,39.90062808308753,5.974389856171014,0.1668770592207096,23.928937937636576
35,control,858291293,44.03906727456562,6.3907446902299805,0.0268158923903114,26.419142224753973
36,control,827631171,42.72944943527789,5.41615727874655,0.0740482229201655,25.559784272787407
37,control,276759694,43.78168745722595,10.104010300024475,0.305233575558134,26.281125967088983
38,control,165229079,42.506911279186696,6.829649451468304,0.281413775661271,25.51085640474804
39,control,700522966,40.80018316997094,5.193736071897659,0.0269919047985344,24.429974445784072
40,control,354525967,42.86176967818341,5.314028827646249,0.0874508861718937,25.69601456334293
41,control,67920001,40.33221221954507,5.705870673970766,0.0537710508666442,24.21212863665889
42,control,970698024,41.351470181172616,6.04133766742435,0.1553076107782962,24.78728818863151
43,control,445687486,40.75380426730548,5.695451436900449,0.0413890053697951,24.565378381794197
44,control,893121121,40.46702567695723,6.329423715611332,0.0485950107399955,24.29538435535136
45,control,677919011,40.56537275752846,5.012651603572175,0.0522224873466506,23.95369052162369
46,control,778383496,39.78408334274506,6.467102787952884,0.3310408501867775,23.86053658639865
47,control,759899441,41.596072650182975,7.775129747275368,0.2287394846472396,24.93260322705833
48,control,194638707,43.4728830163251,8.878631552157055,0.0962425166338584,26.07099859002697
49,control,363906031,43.24729796631232,5.200921368034435,0.1414413322432555,25.31569541339613
50,control,466721003,40.95558211464579,6.322709459305597,0.0365318663423958,24.601671148996942
51,control,497791541,42.12824183501395,5.384072257958816,0.0093973060269163,25.23622971329821
52,control,43803765,40.87938208544442,5.602645163301018,0.18046341761226,24.4832993981668
53,control,546569503,41.379293178328695,5.279070059811357,0.0159536876533103,24.82682858485089
54,control,154289491,42.69609312635976,5.3300852491884765,0.021853522264467,25.511962047403067
55,control,743375907,43.854407015681694,5.391718134942665,0.020643885727549,26.234944663292133
56,control,683048953,39.64289504511506,7.562489819434269,0.3048484410753066,23.795512006854363
57,control,922527839,41.94353203065228,6.92745162631533,0.3811853293177785,25.109303654754846
58,control,744762155,41.78595554530088,5.113107441619246,0.1129413120260522,24.40821048476124
59,control,366642656,42.23628276661732,7.020977707320994,0.2639621540547349,25.37876558156864
60,control,967509732,43.40590108890574,4.898223818593737,0.0131311243784562,25.654155797571047
61,control,905535765,42.257942909264585,5.787335100064874,0.2451111272657558,24.911026174067747
62,control,370459705,40.52213822227722,8.163077641036745,0.3126294699547137,24.330473361703746
63,control,76343185,43.046865368668286,7.084731048911016,0.1907082406867439,25.86208682848909
64,control,469555811,45.1618571605411,6.054470646096656,0.0307338311828565,27.097547972931352
65,control,795679975,40.39693930724794,5.63513704144507,0.0108280307784152,24.23155331022156
66,control,189471358,40.81826473254754,7.1441613014059655,0.2071808519649983,24.52578158877512
67,control,462940571,41.528728891714216,10.083076897477357,0.3064823897530712,24.885055638298205
68,control,129921505,43.86130761409555,10.357035491262272,0.4455910444487349,26.2611324545416
69,control,686478210,40.96020342098516,6.125972703025052,0.1478979312396946,24.56977107636736
70,control,330196333,42.39562469494775,7.680204903065012,0.0941286600590985,25.439234123434588
71,control,226909348,43.6194137725285,5.002521439674492,0.0197496016232167,26.082867401404314
72,control,564499893,42.73765661206957,6.786862849949418,0.1621617945893648,25.643236061961485
73,control,669813994,43.611204745366265,6.077959881159789,0.036744878657926,26.165790639346746
74,control,940306095,42.524855248107926,7.61258116350272,0.1027224528450346,25.552349816054274
75,control,437151918,41.823996392959465,5.294281004805727,0.0235985624632884,25.05869371880192
76,control,160688162,39.319448390082606,5.063978467440911,0.0445059938830904,23.31125304943035
77,control,629764301,44.26962833708276,6.615232697869262,0.0448242671826039,26.604435193613543
78,control,700265101,40.99168262388741,5.60729767939816,0.0202532651059837,24.597811773728765
79,control,97226634,42.73299095055173,9.427129902417716,0.3475593459987859,25.631759110259782
80,control,312366641,41.01260587044763,5.597833352811118,0.0342044913157562,24.575654139675372
81,control,767843914,40.80575698615754,6.469889405453921,0.0933389025523714,24.472118540917062
82,control,832259801,44.49512958947019,7.1086848916816585,0.4203601835833401,26.685052431269963
83,control,435216667,42.09654139538204,7.005437745018399,0.2328346226850152,25.26286089336503
84,control,804764357,42.16969401517866,6.346341493202655,0.2066008016911686,25.33464080542008
85,control,841691868,41.89014687797049,6.858069924995819,0.2638550780619709,25.154136171259072
86,control,387478378,42.19707501322286,6.688244356352566,0.2196863282795651,25.347407076877097
87,control,898087625,43.60773462839826,6.080279618079836,0.2361658299613397,26.128561754885357
88,control,288328103,44.27980408053288,6.7463375502256495,0.1250305616733228,26.576303841002616
89,control,239557784,43.6338792262938,6.257671725701015,0.0483394459578684,26.155771059173954
90,control,682495503,40.82078577845502,6.449788603085716,0.0103668091141292,24.49042593214912
91,control,636761825,43.31196240871772,6.017626566463368,0.0936154926135832,26.003183005582144
92,control,139752483,39.3421035457348,5.1850066714428085,0.0644518665075253,23.393869340596176
93,control,832736746,45.49129869145656,7.385535004755135,0.4691002521858965,27.263910797769547
94,control,199908202,43.01098196670698,6.939625638752435,0.1366520076899938,25.7898307291826
95,control,7362269,43.65948174740114,7.450953348106277,0.3175817799244843,26.19147588209084
96,control,796842586,40.00856455465691,7.293425010643292,0.0145499378862038,24.01080298632425
97,control,786924377,41.09404753527473,6.121414939210017,0.1217460942962801,24.65336592725584
98,control,780364318,40.06465458364724,6.1932272819266085,0.1527924302373204,24.082495635858866
99,control,664850856,42.04033194760782,7.793398285425371,0.1478602717613832,25.261737842199977
100,control,471567144,41.01565213631883,7.321627126067202,0.4008468963574339,24.45478020964098
1,treatment,705165378,42.6842951903168,9.397872764713425,0.485390491899963,25.61576001822263
2,treatment,277121625,42.84975598394958,7.858663893416162,0.2836417943388487,25.726878555850888
3,treatment,780729030,40.72495039564719,8.758985788706903,0.1381044011927807,24.43522789268114
4,treatment,555646960,40.74278645235852,5.656279086069884,0.1203212149037836,24.437884429312987
5,treatment,458915775,37.60495489036683,8.028460260394187,0.3451865605046154,22.55603375086513
6,treatment,505606251,41.614532501392446,10.646736867633251,0.1041028557051116,24.931529841726285
7,treatment,568741195,41.64186352778798,6.62060507037577,0.057638373947998,25.018987568191573
8,treatment,37262311,37.95111238624742,8.824628966542091,0.4846604717428788,22.73247255167276
9,treatment,139796998,37.69726444262426,6.924107513173827,0.2194848318402984,22.595484050339763
10,treatment,245481166,43.28827505052112,11.842406125706084,0.5207728920878396,26.05882146660891
11,treatment,114530073,41.1920091647631,6.518680824222214,0.1720853285597087,24.68866849516592
12,treatment,439613574,44.45026854607157,6.670040255284675,0.0855384935855424,26.657967863945743
13,treatment,668402961,40.04438321466054,8.278339567277962,0.2703603549270018,23.98791962273713
14,treatment,654428859,41.004715286401705,10.42057128863962,0.1319735543213935,24.606110677889504
15,treatment,471096205,41.648567104726126,6.691908819694439,0.0472295191038384,24.996792467984427
16,treatment,855080007,41.0988827344116,11.537795764658956,0.3313180707789974,24.65097541009986
17,treatment,565236106,38.92156538110927,8.176092267177603,0.1112818293731485,23.27967366797274
18,treatment,79197403,44.36149378611496,11.139426521757846,0.0361292119183752,26.59551280617648
19,treatment,764998857,42.84474537593927,9.115724039579218,0.4298074025632438,25.696512653335223
20,treatment,574600623,38.5719583829905,7.774949381201588,0.2126526539169567,23.169764713710197
21,treatment,634718319,39.23210184538631,5.281720362823396,0.0885986109799147,23.47117785834468
22,treatment,565373325,43.77590962668119,7.884861604577857,0.4440555655015953,26.203152493302127
23,treatment,553579400,42.00422672539197,8.200905755287472,0.2390728330536005,25.20381717711158
24,treatment,90566425,40.1716910842797,7.67393048402544,0.4558249051758999,24.10254011369896
25,treatment,559207160,37.55684674890401,10.51653560235784,0.2257456050690634,22.52931164226553
26,treatment,794912616,41.93775207496783,9.666498801996235,0.171255452933271,25.1741939171308
27,treatment,303950097,43.40493061830502,6.010082429128459,0.1325307977372735,26.040549442440344
28,treatment,602838243,45.173110663136754,9.62725371783226,0.1085483700207075,27.102312673475485
29,treatment,30817834,43.69630263328043,11.91909096520492,0.0697130520690418,26.19869434679172
30,treatment,436717389,43.66676788279048,12.019431134560868,0.5224763172749555,26.201851055197693
31,treatment,982738393,44.59923570461668,9.077302993725633,0.0776606932739802,26.75569432335521
32,treatment,214584672,41.26833346039561,8.629259307033387,0.4397671256513616,24.73949899100312
33,treatment,276548331,40.22776644911975,10.756335353752618,0.5086491900488845,24.167438976601165
34,treatment,408528643,40.54799445393502,7.309567013990701,0.1954781389307926,24.322122163931184
35,treatment,992665618,42.6010805830473,6.120898678631166,0.0702114365510553,25.52610222781564
36,treatment,34692964,41.556390766302826,7.513475118628714,0.0553318262170941,24.925011382044627
37,treatment,233939485,42.387927621542175,6.043739743215624,0.0687804721992875,25.401821128838137
38,treatment,821674449,41.05798947331315,9.625161168995971,0.18089831602711,24.65792044426358
39,treatment,58302741,44.69171506527392,7.925638601346769,0.3633469476493662,26.806361346892263
40,treatment,855670853,41.552595830059815,8.035828655383373,0.2682337123273117,24.92773099653348
41,treatment,281383891,40.61250986859589,9.767603680205726,0.3993329391732061,24.37323046589796
42,treatment,917652131,42.23620059029381,14.254741111045377,0.2851004697793083,25.351048157796303
43,treatment,293593757,43.80727075426073,10.50866658916448,0.1175449816659024,26.295967177566972
44,treatment,434316805,43.68324636932904,9.13189517278565,0.1464515818787982,26.214423280779197
45,treatment,661916514,43.5398737062497,7.521519676757991,0.3112622197659842,26.114869936600968
46,treatment,126280735,40.511081908595735,10.980260250408891,0.1358266940607434,24.323542735346347
47,treatment,557032152,41.08890534381442,8.494134466571392,0.20821443376415,24.631153446181703
48,treatment,505015495,42.34432160018457,7.427514736809097,0.1793447439884945,25.306483000089173
49,treatment,783898208,40.60785480505056,11.314025624687778,0.421050619795736,24.38252293798533
50,treatment,996106906,43.73256954737391,12.721794747356745,0.0628386738339509,26.27278099063567
51,treatment,664313540,44.32427736403709,7.958295405411565,0.0176933268956283,26.60744105015075
52,treatment,409186442,41.82943944247644,7.343691475738508,0.3531169593958358,25.112610768734942
53,treatment,406386861,39.62271627687242,6.120189376976486,0.0095075840868927,23.78032318825564
54,treatment,417958745,39.30924384439295,5.446472007839339,0.0343337237869629,23.685392242738665
55,treatment,814020384,42.15047674671011,10.165255563471067,0.0247827206732901,25.29420743642812
56,treatment,321215732,42.40362847778461,8.665676351589415,0.2733957824063439,25.354371996279465
57,treatment,166972919,42.80221708452646,6.095386217581579,0.022557953855351,25.67966602570896
58,treatment,334291442,45.87573576351312,5.26897482945782,0.0971073099681077,27.25665121291951
59,treatment,106142582,41.8675899998342,8.471530151148105,0.280222673158609,25.072755137319007
60,treatment,90047860,40.27762763470884,15.281922556625316,0.4199036433246832,24.1446799664594
61,treatment,771552413,43.65479203784954,10.69112423728637,0.2103448416196846,26.211151005825272
62,treatment,722359350,42.1494944202116,7.9313663871871345,0.3536428959676745,25.31768553775959
63,treatment,696770792,41.47170314795352,5.880543257285342,0.1315442656964525,24.85579511423672
64,treatment,461877230,42.61656607618008,6.020452021837242,0.2757437260513197,25.35088998437197
65,treatment,717058512,38.70718987074445,6.143633537566481,0.2671320770564223,23.174348134888078
66,treatment,161271778,43.38557745939006,8.305389627219483,0.1862892076109557,26.055720527219936
67,treatment,501044774,39.95828916070176,7.068803694943697,0.1464388138067094,23.979190767533
68,treatment,938051391,41.68687047674878,7.383865938206216,0.005972302032638,24.981645260743548
69,treatment,152312102,40.6542537445788,8.584366131048608,0.4121452692811099,24.37617727404501
70,treatment,696320374,35.048266390805004,17.393759193985055,0.3626542977006004,21.05339670477749
71,treatment,495625870,42.46117349460525,8.779714865121225,0.054668965700923,25.512392920468997
72,treatment,446156275,39.42983668302596,9.959111596919662,0.1392137892994766,23.656276922545672
73,treatment,238766265,43.14047663192923,7.576426956188624,0.2529844705175472,25.892797246848662
74,treatment,301512089,43.23882054777395,7.281714602240078,0.0817814621919139,25.96967940905713
75,treatment,683700662,39.934517411388455,10.220873676326311,0.4829282237515336,23.945238205727435
76,treatment,630282592,41.471163493842,7.439258111100704,0.1944830352114155,24.886282049296238
77,treatment,607196431,42.71610099588305,8.383611136062196,0.1457342230337985,25.64107970104755
78,treatment,361812610,38.25885830616681,10.573867256480792,0.1957314525872485,22.925755616762657
79,treatment,959692583,44.02370386090056,9.399836095117248,0.1753576266992474,26.4030802639724
