r,e,delta_L_percent,delta_B_percent,decoupled
0.1,1.0,9.536880054863692,0.924285426750582,False
0.1,1.2,0.1920440592589427,0.1585033981511966,False
0.1,1.4,4.54989596712139,-0.918386710337126,False
0.1,1.6,10.57752887812314,-2.177198638156473,False
0.1,1.8,10.002563014503725,-0.5891751142487164,True
0.1,2.0,-1.1717252313477973,-0.8339539583708913,False
0.1,2.2,7.519046884453072,-0.1742089070160702,False
0.1,2.4000000000000004,2.777539210767832,-2.1614848615627253,False
0.1,2.6,-2.213536949451886,1.3672494299127504,False
0.15,1.0,15.939947797388124,-0.9130503620125004,True
0.15,1.2,17.961215864252964,-2.355269857820399,False
0.15,1.4,24.823700848019495,-2.76179990742147,False
0.15,1.6,10.168546363051718,3.2956491691285983,False
0.15,1.8,14.40711903522042,-3.814702521292758,False
0.15,2.0,3.249221676788878,-0.239115500242741,False
0.15,2.2,11.684508625204876,2.9398642096068017,False
0.15,2.4000000000000004,6.110314871164161,0.9561586869262936,False
0.15,2.6,9.5620916608352,-1.5384036958484053,False
0.2,1.0,33.704509977677496,-2.5606173134444408,False
0.2,1.2,26.288107004191392,-3.0761261731649068,False
0.2,1.4,4.577042657019746,-0.8147131164480051,False
0.2,1.6,32.68514176567731,0.1624724278303325,True
0.2,1.8,17.346163367396827,-0.2226569488032616,True
0.2,2.0,23.628003370070108,2.2564868500443382,False
0.2,2.2,22.93723755195992,0.8097157647229325,True
0.2,2.4000000000000004,12.953827413557818,-3.4742572284704023,False
0.2,2.6,25.225465270363035,1.499283707379332,True
0.25,1.0,4.805239330019022,1.8592232013437449,False
0.25,1.2,27.959658792468712,-2.354803208997925,False
0.25,1.4,20.220740427026715,-1.4103004747788048,True
0.25,1.6,38.658219796203355,0.6583451233489768,True
0.25,1.8,28.099587508637185,-3.794821060634371,False
0.25,2.0,18.990864282326996,-1.6073132419459106,True
0.25,2.2,12.18552706611506,-2.1253906613731837,False
0.25,2.4000000000000004,10.72075522845998,-0.9242994409046826,True
0.25,2.6,0.3158807330301788,-2.120587699452718,False
0.3,1.0,32.41026714058629,-1.692396643648903,True
0.3,1.2,21.689212291584298,-3.179560292562567,False
0.3,1.4,21.982293463867737,-2.4354631723740305,False
0.3,1.6,29.16637232240712,-3.3573293058799747,False
0.3,1.8,21.255722231107203,1.5703656579962046,True
0.3,2.0,24.50259004364918,-1.44689239153457,True
0.3,2.2,31.423793206892377,0.9469750430858572,True
0.3,2.4000000000000004,26.913901569462496,-2.2229251852976395,False
0.3,2.6,24.39649055778143,1.3174656047788995,True
0.35,1.0,20.373289692792408,-4.746312514510786,False
0.35,1.2,26.466825297372427,0.0416172258294518,True
0.35,1.4,24.849151323002477,-0.0582452231048465,True
0.35,1.6,46.04265417936777,0.1617909522530881,True
0.35,1.8,37.03997551468174,-0.9459820275319548,True
0.35,2.0,26.814795029698313,-2.3616084599104337,False
0.35,2.2,33.17593703288231,0.3982824192173314,True
0.35,2.4000000000000004,25.98915465724111,-1.4982534056472252,True
0.35,2.6,16.077755546818004,-1.6714105351099962,True
0.4,1.0,11.470532230526723,-4.887142724507655,False
0.4,1.2,26.80832963251771,-1.1243419073627166,True
0.4,1.4,26.64941684038846,-0.9477868098820554,True
0.4,1.6,28.899379007022148,-2.66802385740845,False
0.4,1.8,13.411983154520168,0.6917721644715463,True
0.4,2.0,19.214479215977896,-1.2451433781385934,True
0.4,2.2,23.58976431460155,0.8969406369471437,True
0.4,2.4000000000000004,26.778463183737617,0.0551929745453412,True
0.4,2.6,22.788933929426474,-0.4966442342747593,True
0.45,1.0,23.539373834187742,-8.932141181332778,False
0.45,1.2,35.342989232330055,-8.522370883062887,False
0.45,1.4,37.73428263816477,-0.4190832786677161,True
0.45,1.6,35.0293930507659,-2.410490507521733,False
0.45,1.8,41.606474732106584,-0.3402029599240675,True
0.45,2.0,49.34909353075901,-1.2610553885718423,True
0.45,2.2,25.33926172579988,-0.6911554184197788,True
0.45,2.4000000000000004,43.4123432504973,0.861339255481788,True
0.45,2.6,14.169016895543304,0.4371334472561698,True
0.5,1.0,28.735786758067928,-8.356609470678897,False
0.5,1.2,22.26313087726268,-7.77549783679608,False
0.5,1.4,39.29736800854682,-3.2204598728798084,False
0.5,1.6,22.355083701968816,-5.26680641118337,False
0.5,1.8,35.733103079858694,-4.192467806295845,False
0.5,2.0,39.52782501288512,-1.06579135941113,True
0.5,2.2,29.10589137786847,-3.666409085172414,False
0.5,2.4000000000000004,42.38765454340799,2.0731618232659432,False
0.5,2.6,34.96823184638298,-1.6360773299009954,True
