replicate,group,seed,phase2_B,phase2_L,phase2_S,phase2_K,phase3_B,phase3_L,phase3_S,phase3_K,phase3_B_max,delta_B,delta_L
1,control,89250953,42.260502920891085,8.498584026424844,0.015606836768458459,25.33458333736192,43.58901183328885,4.924259394105615,0.028006006791392514,25.986867877039135,50.0,1.3285089123977656,-3.574324632319229
2,control,773956048,40.47652769974193,6.494595640381077,0.24906297490260335,24.293540225368712,42.327728503157545,5.905904209975378,0.11839208337370646,25.39535848076114,50.0,1.8512008034156153,-0.5886914304056994
3,control,654571518,43.6100842322884,5.263680200346327,0.020163054810004494,26.14882241635787,44.566798846174585,7.674052472177865,0.11096424489748716,26.730655325141882,50.0,0.9567146138861844,2.4103722718315383
4,control,438878439,42.88439506998922,4.811223000472621,0.013977902828542792,25.09202838036805,43.2986324105128,7.034003308684629,0.09078566465640825,25.96087943261348,50.0,0.4142373405235844,2.222780308212008
5,control,433015235,41.16460631182069,6.567100759171868,0.3357284911738312,24.619986435452006,40.84403257224258,7.239679965229097,0.13638216618977025,24.524765002964056,50.0,-0.32057373957810853,0.6725792060572289
6,control,858597919,40.569439372313255,6.503541582001811,0.07601351892085714,24.357929345006806,38.390738508638925,5.949367081922599,0.15204436655486672,23.057975784460538,50.0,-2.1787008636743295,-0.5541745000792124
7,control,201469535,42.23249993523266,6.111513202090169,0.08675326010944358,25.337836394261775,37.49357238247464,6.480727400988018,0.10881512160590338,22.49297496864309,50.0,-4.738927552758021,0.3692141988978488
8,control,94177347,38.578362829530775,8.489221706223839,0.0763111495664353,23.145237972350493,42.339608718188515,9.878942275508708,0.5611244626742202,25.387461235220385,50.0,3.76124588865774,1.3897205692848686
9,control,526478978,42.79078064127118,6.803898900586085,0.3431722222996017,25.535115004983293,42.05805014234774,5.639067246507064,0.031460762517943885,25.21502511270634,50.0,-0.7327304989234449,-1.1648316540790207
10,control,975622351,40.87540462017426,6.948188491864578,0.3832562922370512,24.508361921632975,40.32527712622784,6.280702145368489,0.28645214346164033,24.11822973270975,50.0,-0.5501274939464196,-0.6674863464960898
11,control,735752370,43.64546198801714,6.482776284344225,0.028104537646237972,26.175929639464698,40.50887908383456,6.9531793379356115,0.1087397277005241,24.3137479466756,50.0,-3.136582904182582,0.47040305359138657
12,control,761139701,41.43163273403363,5.985846761945355,0.16318577348540583,24.826741116750394,42.00217776542436,7.655071419751287,0.1961498311145682,25.204633379612655,50.0,0.5705450313907363,1.6692246578059313
13,control,717477276,40.14947248724223,5.775893018642829,0.01591944630661581,24.08018278345796,40.92409926100056,5.211416340936836,0.03877064310301544,24.505449822611023,50.0,0.7746267737583352,-0.5644766777059926
14,control,786064305,42.50283296077844,6.559161546402611,0.08546343024757029,25.48031847302401,40.37387935206836,6.402556780665987,0.3119593117349182,24.101944891609058,50.0,-2.128953608710084,-0.15660476573662407
15,control,513226573,41.612144336792745,5.44299131185301,0.1101620175474033,24.918542285639802,44.640215138685136,5.6391891628319915,0.03155102626605785,26.81946147273893,50.0,3.0280708018923903,0.19619785097898124
16,control,128113632,38.14889599264292,6.1232518475771,0.27637473787546724,22.779467833120346,41.75562584922828,6.560550646444051,0.04320699387417311,25.06598483857426,50.0,3.6067298565853605,0.43729879886695144
17,control,839748229,40.566523426132164,6.229397534969316,0.16529041959966564,24.306139948227553,41.89517166361734,6.41967070674781,0.28235030833670327,25.160808641172515,50.0,1.3286482374851758,0.190273171778494
18,control,450385937,45.50557697995818,7.089090776067232,0.10430459172448855,27.305160515564005,40.63838561520049,8.154192637170281,0.15466179028001836,24.395717006269976,50.0,-4.867191364757687,1.0651018611030487
19,control,500351915,43.06737110516401,6.48262188876655,0.07651549627432462,25.830405561663593,44.301883274783165,6.291865688029546,0.13428083759284015,26.557130800730352,50.0,1.2345121696191583,-0.19075620073700428
20,control,370798024,39.26652421720544,6.759050888626587,0.10830386989267657,23.560470936572106,42.192807526451155,7.577624590854599,0.16402883688273098,25.29146514225449,50.0,2.9262833092457115,0.8185737022280124
21,control,182549636,44.53489519512853,5.990544426823698,0.24955527502803018,26.715091575530682,43.97007586181008,6.69008772565646,0.18239354822518056,26.4045229457622,50.0,-0.5648193333184466,0.6995432988327623
22,control,926764988,43.966664230751455,4.8654166269375665,0.020314561304909964,26.050326135389305,38.84116666736485,5.552702544420575,0.12304514325644315,23.246725891216148,50.0,-5.1254975633866025,0.6872859174830088
23,control,781567455,41.06007834423,5.190227134565348,0.06570542936455216,24.556688120204186,40.173667386821805,5.088517162419503,0.02083542788006214,24.015453749537404,50.0,-0.8864109574081951,-0.1017099721458452
24,control,643865119,41.69292623419545,5.728054650066216,0.020014636949208898,25.028841991857124,42.503016673397674,5.399441963411353,0.06384817384143394,25.45115439670922,50.0,0.8100904392022272,-0.3286126866548633
