replicate,group,seed,phase2_B,phase2_L,phase2_S,phase2_K,phase3_B,phase3_L,phase3_S,phase3_K,phase3_B_max,delta_B,delta_L
1,control,89250953,42.260502920891085,8.498584026424844,0.015606836768458459,25.33458333736192,53.83136424675035,8.73791702555599,0.5560596809101356,32.30429048361739,70.0,11.570861325859262,0.2393329991311468
2,control,773956048,40.47652769974193,6.494595640381077,0.24906297490260335,24.293540225368712,54.49737099953211,5.820214306940955,0.08337192685777915,32.72151470963484,70.0,14.02084329979018,-0.6743813334401221
3,control,654571518,43.6100842322884,5.263680200346327,0.020163054810004494,26.14882241635787,58.58935834890412,6.565726282320008,0.3126342767607378,35.16546259974835,70.0,14.97927411661572,1.302046081973681
4,control,438878439,42.88439506998922,4.811223000472621,0.013977902828542792,25.09202838036805,58.82398028673039,7.271427099660377,0.37508262865008396,35.27914429002713,70.0,15.939585216741172,2.460204099187756
5,control,433015235,41.16460631182069,6.567100759171868,0.3357284911738312,24.619986435452006,61.05962700562295,5.771570757499965,0.08291373737672653,36.59425372017446,70.0,19.89502069380226,-0.7955300016719038
6,control,858597919,40.569439372313255,6.503541582001811,0.07601351892085714,24.357929345006806,47.34639712661794,9.165182587751776,0.3541103468426759,28.409090992508908,70.0,6.776957754304682,2.6616410057499644
7,control,201469535,42.23249993523266,6.111513202090169,0.08675326010944358,25.337836394261775,51.85151231350135,5.482149830830091,0.05053466951415544,31.09071712376118,70.0,9.619012378268692,-0.6293633712600784
8,control,94177347,38.578362829530775,8.489221706223839,0.0763111495664353,23.145237972350493,59.65554324028757,9.317510731288719,0.2454021892401146,35.82104261008802,70.0,21.077180410756796,0.8282890250648798
9,control,526478978,42.79078064127118,6.803898900586085,0.3431722222996017,25.535115004983293,50.121114097289244,10.463970572167408,0.12009561275920091,30.08979858535045,70.0,7.33033345601806,3.6600716715813233
10,control,975622351,40.87540462017426,6.948188491864578,0.3832562922370512,24.508361921632975,52.15513933796868,7.646859752180815,0.25793471544402236,31.299609323294767,70.0,11.279734717794419,0.6986712603162362
11,control,735752370,43.64546198801714,6.482776284344225,0.028104537646237972,26.175929639464698,57.74903579760483,6.797687927373324,0.20769216454842518,34.63832850117912,70.0,14.103573809587694,0.3149116430290988
12,control,761139701,41.43163273403363,5.985846761945355,0.16318577348540583,24.826741116750394,53.63148410950325,8.957730210991844,0.4143563354448182,32.190553351063905,70.0,12.19985137546962,2.971883449046489
13,control,717477276,40.14947248724223,5.775893018642829,0.01591944630661581,24.08018278345796,64.62198271898384,5.198475403147835,0.01626477140508962,38.669108030401006,70.0,24.472510231741616,-0.5774176154949933
14,control,786064305,42.50283296077844,6.559161546402611,0.08546343024757029,25.48031847302401,61.456491036478454,8.009522944885124,0.22885458506499196,36.88723574376321,70.0,18.953658075700012,1.4503613984825128
15,control,513226573,41.612144336792745,5.44299131185301,0.1101620175474033,24.918542285639802,61.8960517381728,8.451222652824864,0.29284261523661703,37.13977693456412,70.0,20.283907401380056,3.0082313409718537
16,control,128113632,38.14889599264292,6.1232518475771,0.27637473787546724,22.779467833120346,47.224748570327414,6.41238828308337,0.02036944569311266,28.361476271205966,70.0,9.075852577684493,0.2891364355062702
17,control,839748229,40.566523426132164,6.229397534969316,0.16529041959966564,24.306139948227553,53.3633624477585,8.04297827964413,0.3656209095351459,32.03673279329398,70.0,12.796839021626333,1.8135807446748142
18,control,450385937,45.50557697995818,7.089090776067232,0.10430459172448855,27.305160515564005,54.85887256838882,7.1923429990047785,0.3188867504868143,32.949309443457075,70.0,9.35329558843064,0.1032522229375461
19,control,500351915,43.06737110516401,6.48262188876655,0.07651549627432462,25.830405561663593,56.34266363395725,9.110381322092476,0.2572310850733437,33.74508310808067,70.0,13.275292528793244,2.6277594333259255
20,control,370798024,39.26652421720544,6.759050888626587,0.10830386989267657,23.560470936572106,54.01534478944442,11.375863431783998,0.2782113799601409,32.41202582193169,70.0,14.748820572238976,4.616812543157411
21,control,182549636,44.53489519512853,5.990544426823698,0.24955527502803018,26.715091575530682,64.09005434021226,9.885452543130116,0.3747897107902154,38.396278883417146,70.0,19.555159145083735,3.894908116306418
22,control,926764988,43.966664230751455,4.8654166269375665,0.020314561304909964,26.050326135389305,53.18737511797069,5.024721278198906,0.00962224136430161,31.79994230373732,70.0,9.220710887219234,0.15930465126133964
23,control,781567455,41.06007834423,5.190227134565348,0.06570542936455216,24.556688120204186,50.37775717305796,7.19680258268247,0.07128012029626866,30.19369166248268,70.0,9.317678828827958,2.006575448117122
24,control,643865119,41.69292623419545,5.728054650066216,0.020014636949208898,25.028841991857124,47.17519733933337,8.689411837894593,0.29925232364708876,28.310764016218336,70.0,5.482271105137926,2.9613571878283764
25,control,402414364,42.28700822427288,6.005690560991083,0.09561301954172843,25.36023149263726,55.76935080317517,7.748123569404521,0.06116637242236785,33.48360726773835,70.0,13.48234257890229,1.742433008413438
26,control,822761613,41.954472849959345,5.575210952924153,0.1217108957828556,25.09681477678153,53.97186454058263,5.974525286829257,0.04492867684680557,32.397636825975454,70.0,12.017391690623285,0.39931433390510396
27,control,545429118,40.69687346751681,6.2694801714927815,0.05947934617452889,24.43035192567487,46.634096100899086,5.85152644077142,0.20267806769519678,27.68281492132695,70.0,5.937222633382277,-0.41795373072136144
28,control,443414198,42.84222004848064,6.0106343722327535,0.1816387775566153,25.648761107445626,66.04779978455048,6.145795761144982,0.11494163966903159,39.60048242703892,70.0,23.205579736069836,0.13516138891222873
29,control,450459553,39.92434791246536,6.472667007586064,0.3451204989395126,23.964208265085112,52.894622217219556,8.532350163305571,0.04391737899089768,31.80543941520637,70.0,12.970274304754199,2.059683155719507
30,control,227238721,44.02287128860249,5.787240428238606,0.1249402209478788,26.4169736748372,57.856106589227494,9.078738843839908,0.36045275085930917,34.673132583294745,70.0,13.833235300625006,3.2914984156013016
31,control,92135914,40.945678218688116,4.99772166639104,0.029826132048339525,24.110452611645275,60.57222414257649,8.62480142144407,0.3364091196000935,36.315189262354885,70.0,19.626545923888372,3.62707975505303
32,control,554584786,38.98000176088205,5.678266915036051,0.15922860694943256,23.371327361489634,51.381164918511274,5.980513619188658,0.18124746307718628,30.849951892813714,70.0,12.401163157629227,0.3022467041526067
33,control,887889843,38.762357522619716,5.296342725049664,0.048846965679737536,23.208070236653604,58.64561412129142,6.926815338341509,0.01734704108250582,35.18828165456647,70.0,19.883256598671707,1.630472613291845
34,control,63817255,39.90062808308753,5.974389856171014,0.1668770592207096,23.928937937636576,48.64746422739387,8.506644089023618,0.12594413134873286,29.188151831089925,70.0,8.746836144306336,2.5322542328526048
35,control,858291293,44.03906727456562,6.3907446902299805,0.026815892390311454,26.419142224753973,49.01740342054383,5.6026298591333,0.11001629140081456,29.23325148095391,70.0,4.978336145978211,-0.7881148310966806
36,control,827631171,42.72944943527789,5.41615727874655,0.0740482229201655,25.559784272787407,52.72855865950664,6.818450891721732,0.30519104705779515,31.632687766823924,70.0,9.999109224228746,1.402293612975182
37,control,276759694,43.78168745722595,10.104010300024477,0.305233575558134,26.281125967088986,55.65628787962733,10.1240062031864,0.3031270428812734,33.402662619198885,70.0,11.874600422401379,0.019995903161923678
38,control,165229079,42.506911279186696,6.8296494514683035,0.281413775661271,25.51085640474804,61.74565827545311,13.139196454809662,0.027737095949826682,37.02359764666139,70.0,19.238746996266414,6.3095470033413585
39,control,700522966,40.80018316997094,5.193736071897659,0.026991904798534427,24.429974445784072,63.822825134357004,5.91455420315443,0.05997080503668654,38.253153443572536,70.0,23.02264196438606,0.7208181312567712
40,control,354525967,42.86176967818341,5.314028827646249,0.08745088617189374,25.69601456334293,51.396108400409446,8.15955012783611,0.17083514842734462,30.822611662103498,70.0,8.534338722226039,2.8455213001898603
41,control,67920001,40.33221221954507,5.705870673970766,0.05377105086664424,24.21212863665889,43.569210349653964,5.379789805534013,0.12686862751073483,26.038751782545084,70.0,3.236998130108894,-0.3260808684367529
42,control,970698024,41.351470181172616,6.04133766742435,0.15530761077829625,24.78728818863151,53.48270726226967,7.682193028847089,0.09702829684624559,32.15606132473506,70.0,12.131237081097055,1.640855361422739
43,control,445687486,40.753804267305476,5.695451436900449,0.04138900536979513,24.565378381794194,54.059179225228405,5.764309759704082,0.20031018308029114,32.41823221145833,70.0,13.305374957922929,0.06885832280363235
44,control,893121121,40.46702567695723,6.329423715611332,0.048595010739995545,24.29538435535136,63.292290978334016,6.154067531235613,0.015536266434547162,37.998428533735016,70.0,22.82526530137679,-0.17535618437571898
45,control,677919011,40.56537275752846,5.012651603572175,0.05222248734665061,23.953690521623695,51.877794344745354,6.725559243562504,0.3663174013617733,30.744947057289192,70.0,11.312421587216896,1.7129076399903287
46,control,778383496,39.78408334274506,6.467102787952884,0.33104085018677754,23.86053658639865,61.94722948977902,11.285589645025157,0.5848754605785595,37.225112743752554,70.0,22.163146147033956,4.818486857072273
47,control,759899441,41.596072650182975,7.775129747275368,0.22873948464723964,24.93260322705833,63.26450528225536,7.0325804504836835,0.3414280663718357,37.953040242714025,70.0,21.66843263207238,-0.7425492967916849
48,control,194638707,43.4728830163251,8.878631552157055,0.09624251663385845,26.07099859002697,64.4084399893188,9.935787624931741,0.6788936060111194,38.65375005809136,70.0,20.935556972993695,1.0571560727746867
49,control,363906031,43.24729796631232,5.200921368034435,0.14144133224325556,25.31569541339613,64.4679083738536,8.569718090960777,0.5264748888658091,38.673401500620884,70.0,21.220610407541287,3.3687967229263416
50,control,466721003,40.95558211464579,6.322709459305597,0.03653186634239586,24.601671148996942,47.82040102960066,4.85391694547062,0.0127375424409517,28.301235226428936,70.0,6.864818914954867,-1.4687925138349769
51,control,497791541,42.12824183501395,5.384072257958816,0.009397306026916347,25.23622971329821,59.15533475118187,6.902624025461487,0.1909912245408904,35.521331710046574,70.0,17.027092916167916,1.5185517675026707
52,control,43803765,40.87938208544442,5.602645163301018,0.18046341761226004,24.483299398166796,55.31940456990556,6.283816071381492,0.028361760592029262,33.19529842632533,70.0,14.440022484461139,0.6811709080804738
53,control,546569503,41.379293178328695,5.279070059811357,0.015953687653310348,24.82682858485089,52.511403252112224,6.107139366988669,0.2217205694208281,31.512000434448368,70.0,11.13211007378353,0.8280693071773122
54,control,154289491,42.69609312635976,5.3300852491884765,0.021853522264467087,25.511962047403067,51.01620847890251,11.613940023712065,0.650686941044931,30.599717219279228,70.0,8.32011535254275,6.283854774523588
55,control,743375907,43.854407015681694,5.391718134942665,0.020643885727549032,26.234944663292133,57.337238982128824,6.43792984752682,0.04382457478102511,34.405622573499464,70.0,13.48283196644713,1.0462117125841548
56,control,683048953,39.64289504511506,7.562489819434269,0.3048484410753066,23.795512006854363,53.436080333109196,5.721406516419793,0.1151243009247516,32.03593477135786,70.0,13.793185287994135,-1.841083303014476
57,control,922527839,41.94353203065228,6.92745162631533,0.3811853293177785,25.109303654754846,62.00020823126183,5.209067056569238,0.17153028599152662,35.8280054420351,70.0,20.05667620060955,-1.7183845697460916
58,control,744762155,41.78595554530088,5.113107441619246,0.11294131202605229,24.40821048476124,59.809888777475045,9.024893568728686,0.06610888440495405,35.88361362969965,70.0,18.023933232174166,3.9117861271094396
59,control,366642656,42.23628276661732,7.020977707320994,0.26396215405473494,25.37876558156864,52.720909973589556,4.906136354622987,0.04019745511019498,30.445097040673303,70.0,10.484627206972235,-2.114841352698007
60,control,967509732,43.40590108890574,4.898223818593737,0.013131124378456299,25.654155797571047,53.52804670485451,5.549845592802197,0.014423991462434458,32.078390120514,70.0,10.122145615948767,0.6516217742084605
61,control,905535765,42.257942909264585,5.787335100064874,0.24511112726575585,24.911026174067747,61.91832610612073,10.341266007926217,0.48287856681961594,37.18700488595711,70.0,19.660383196856145,4.553930907861343
62,control,370459705,40.52213822227722,8.163077641036745,0.3126294699547137,24.330473361703742,51.369191402618036,7.7171854780283216,0.23290519175306565,30.852546986040096,70.0,10.847053180340815,-0.4458921630084234
63,control,76343185,43.046865368668286,7.084731048911016,0.1907082406867439,25.862086828489094,47.87421273016888,9.45760151373276,0.1355490923679157,28.722663114083055,70.0,4.827347361500593,2.3728704648217436
64,control,469555811,45.1618571605411,6.0544706460966555,0.030733831182856556,27.097547972931352,59.24189154730931,6.6760259219167715,0.11257907782807766,35.545523711939865,70.0,14.080034386768205,0.6215552758201159
65,control,795679975,40.39693930724794,5.63513704144507,0.010828030778415225,24.231553310221557,53.68425001003628,8.78872757203325,0.48074804706369095,32.20633500602375,70.0,13.28731070278834,3.153590530588181
66,control,189471358,40.81826473254754,7.1441613014059655,0.20718085196499839,24.525781588775118,60.722233664962744,8.928473857211491,0.31650213617303735,36.428253343574006,70.0,19.903968932415204,1.784312555805526
67,control,462940571,41.528728891714216,10.083076897477357,0.3064823897530712,24.885055638298205,62.118977237235185,9.869121739398704,0.08820053145955266,37.30716081488356,70.0,20.59024834552097,-0.21395515807865273
68,control,129921505,43.86130761409555,10.357035491262273,0.44559104444873493,26.2611324545416,54.72434100490448,12.120975053850005,0.6793822694248388,32.80521445257229,70.0,10.86303339080893,1.7639395625877317
69,control,686478210,40.96020342098516,6.125972703025052,0.14789793123969464,24.56977107636736,60.8165710499424,8.234308058911378,0.18440867674243278,36.506490993312866,70.0,19.856367628957237,2.108335355886325
70,control,330196333,42.39562469494775,7.680204903065012,0.09412866005909852,25.439234123434588,63.86874947430788,12.171885967490653,0.22371808269987775,38.317259349121784,70.0,21.473124779360134,4.491681064425641
71,control,226909348,43.6194137725285,5.002521439674492,0.01974960162321679,26.082867401404314,64.78562863104571,6.728196274383273,0.08854484236508572,38.888720401003646,70.0,21.166214858517208,1.725674834708781
72,control,564499893,42.737656612069564,6.786862849949418,0.1621617945893648,25.643236061961485,54.327262967169446,5.804680717740964,0.13968312083251852,32.664484974103694,70.0,11.589606355099882,-0.9821821322084539
73,control,669813994,43.611204745366265,6.077959881159789,0.03674487865792602,26.165790639346742,55.46359979154473,8.072933516162506,0.14911225444503176,33.26325598954025,70.0,11.852395046178465,1.994973635002717
74,control,940306095,42.524855248107926,7.61258116350272,0.1027224528450346,25.552349816054274,59.748967218804566,8.938611178023354,0.22847490893486241,35.86778964732503,70.0,17.22411197069664,1.3260300145206338
75,control,437151918,41.823996392959465,5.294281004805727,0.02359856246328847,25.05869371880192,65.55280991441278,7.748902783516933,0.5047677170979428,39.32155177473893,70.0,23.72881352145331,2.454621778711206
76,control,160688162,39.319448390082606,5.0639784674409105,0.04450599388309044,23.31125304943035,55.43266034868613,6.875524936578926,0.018570506012886165,33.28080009352963,70.0,16.11321195860352,1.8115464691380154
77,control,629764301,44.26962833708276,6.615232697869262,0.044824267182603954,26.604435193613543,60.288934664069224,8.246740231558347,0.2217238684700578,36.20423156343592,70.0,16.019306326986467,1.631507533689085
78,control,700265101,40.99168262388741,5.60729767939816,0.020253265105983728,24.597811773728765,49.07517163869705,10.313728241428336,0.5238053073321048,29.440505308443147,70.0,8.083489014809643,4.706430562030176
79,control,97226634,42.73299095055173,9.427129902417716,0.34755934599878596,25.631759110259782,60.29276418524634,6.354071472488353,0.015435010298970705,36.13310453046953,70.0,17.55977323469461,-3.0730584299293637
80,control,312366641,41.01260587044763,5.597833352811118,0.0342044913157562,24.575654139675375,56.98889185436522,5.282411648365044,0.06532189593700609,34.07099940511582,70.0,15.976285983917592,-0.31542170444607365
81,control,767843914,40.80575698615754,6.469889405453921,0.09333890255237144,24.472118540917066,49.56461635611592,6.7627574360622065,0.35160901896428143,29.623624817151626,70.0,8.75885936995838,0.29286803060828515
82,control,832259801,44.49512958947019,7.1086848916816585,0.42036018358334015,26.685052431269963,53.075874040333495,10.635513055235196,0.43541839561353113,31.840989983535298,70.0,8.580744450863307,3.526828163553537
83,control,435216667,42.09654139538204,7.005437745018399,0.23283462268501523,25.26286089336503,55.494005860385194,8.438581341582088,0.055197168773686356,33.3158324857081,70.0,13.397464465003154,1.4331435965636894
